TIMESTAMP_NS,EVENTHUB_NAMESPACE,EVENTHUB_NAME,CONSUMER_GROUP,PARTITION_ID,OFFSET,SEQUENCE_NUMBER,ENQUEUED_TIME,CONTENT_TYPE,BODY,PROPERTIES,SYSTEM_PROPERTIES,INGESTION_TIMESTAMP
,,,,3,,64241,2025-12-18 05:48:02.452 -0800,,,,"{""x-opt-sequence-number-epoch"": -1, ""x-opt-sequence-number"": 64241, ""x-opt-offset"": ""128849018880"", ""x-opt-enqueued-time"": 1766065682452}",2025-12-18 05:48:02.594 -0800
,,,,3,,64242,2025-12-18 05:48:02.452 -0800,,,,"{""x-opt-sequence-number-epoch"": -1, ""x-opt-sequence-number"": 64242, ""x-opt-offset"": ""128849019136"", ""x-opt-enqueued-time"": 1766065682452}",2025-12-18 05:48:02.594 -0800
,,,,3,,64243,2025-12-18 05:48:02.452 -0800,,,,"{""x-opt-sequence-number-epoch"": -1, ""x-opt-sequence-number"": 64243, ""x-opt-offset"": ""128849019392"", ""x-opt-enqueued-time"": 1766065682452}",2025-12-18 05:48:02.594 -0800
,,,,3,,64244,2025-12-18 05:48:02.452 -0800,,,,"{""x-opt-sequence-number-epoch"": -1, ""x-opt-sequence-number"": 64244, ""x-opt-offset"": ""128849019648"", ""x-opt-enqueued-time"": 1766065682452}",2025-12-18 05:48:02.594 -0800
,,,,3,,64245,2025-12-18 05:48:02.452 -0800,,,,"{""x-opt-sequence-number-epoch"": -1, ""x-opt-sequence-number"": 64245, ""x-opt-offset"": ""128849019904"", ""x-opt-enqueued-time"": 1766065682452}",2025-12-18 05:48:02.594 -0800
,,,,3,,64246,2025-12-18 05:48:02.452 -0800,,,,"{""x-opt-sequence-number-epoch"": -1, ""x-opt-sequence-number"": 64246, ""x-opt-offset"": ""128849020160"", ""x-opt-enqueued-time"": 1766065682452}",2025-12-18 05:48:02.594 -0800
,,,,3,,64247,2025-12-18 05:48:02.452 -0800,,,,"{""x-opt-sequence-number-epoch"": -1, ""x-opt-sequence-number"": 64247, ""x-opt-offset"": ""128849020416"", ""x-opt-enqueued-time"": 1766065682452}",2025-12-18 05:48:02.594 -0800
,,,,3,,64248,2025-12-18 05:48:02.452 -0800,,,,"{""x-opt-sequence-number-epoch"": -1, ""x-opt-sequence-number"": 64248, ""x-opt-offset"": ""128849020672"", ""x-opt-enqueued-time"": 1766065682452}",2025-12-18 05:48:02.594 -0800
,,,,3,,64249,2025-12-18 05:48:02.452 -0800,,,,"{""x-opt-sequence-number-epoch"": -1, ""x-opt-sequence-number"": 64249, ""x-opt-offset"": ""128849020928"", ""x-opt-enqueued-time"": 1766065682452}",2025-12-18 05:48:02.594 -0800
,,,,3,,64250,2025-12-18 05:48:02.452 -0800,,,,"{""x-opt-sequence-number-epoch"": -1, ""x-opt-sequence-number"": 64250, ""x-opt-offset"": ""128849021184"", ""x-opt-enqueued-time"": 1766065682452}",2025-12-18 05:48:02.594 -0800
